Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
888.165,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.162
890.171,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.197
892.226,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.197
894.163,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.197
898.184,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.197
902.2719999999999,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.197
904.402,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.303
906.431,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.303
908.431,-241.3,-777.4,178.8,1.232,1.18,-1.207,1.303
910.428,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.303
912.435,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.303
914.432,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.303
916.432,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.303
918.431,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.268
922.431,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.268
924.421,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.268
928.431,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.268
932.418,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.233
934.431,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.233
936.442,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.233
938.431,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.233
940.434,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.233
942.419,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.233
944.418,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.233
946.4209999999999,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.233
950.4979999999999,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.233
952.535,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.233
955.639,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.268
957.623,-241.3,-777.4,178.9,1.232,1.18,-1.207,1.268
